time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type_group,subject_area,qualification,school_type,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4742,4.21763,17.54534,39.89878,63.81274,82.96078,94.70687
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2543,6.96028,24.61659,52.22179,75.69799,91.54542,98.93826
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2477,3.35083,14.93742,41.01736,68.22769,86.47558,96.00323
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,79762,7.55999,23.98761,49.75176,73.55132,89.05995,96.83684
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,83958,6.92013,23.4391,49.89995,74.33479,89.68651,97.23671
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,57292,6.32375,21.87915,48.07477,73.06605,89.05606,96.96991
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,24332,5.62634,20.42167,46.95874,72.94098,89.24462,97.19711
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,125079,8.3867,26.35374,52.94094,75.34758,89.66893,96.9859
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,53056,5.89189,20.68946,46.11354,70.746,87.77518,96.56966
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,60944,7.182,23.39525,49.58158,73.39853,88.93574,96.81347
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,130240,8.50046,26.40587,52.43781,74.8664,89.27058,96.63314
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,67598,6.13923,21.16779,46.36972,71.05388,87.7452,96.51913
