School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Kesteven and Grantham Girls' School,Lincolnshire,1.00%,89.00%,49.00%,42.00%,2.00%,15.10%,100.00%,Outstanding,2023-09-20 00:00:00,31.92%,East Midlands
Riverside School,Barking and Dagenham,0.00%,88.00%,35.00%,33.00%,0.00%,20.05%,100.00%,Outstanding,2022-10-06 00:00:00,31.91%,London
Beauchamp College,Leicestershire,2.00%,89.00%,35.00%,31.00%,3.00%,23.35%,75.00%,Good,2022-03-02 00:00:00,31.90%,East Midlands
Highbury Fields School,Islington,0.00%,85.00%,29.00%,27.00%,0.00%,22.67%,100.00%,Outstanding,2022-09-28 00:00:00,31.87%,London
Stokesley School,North Yorkshire,1.00%,94.00%,46.00%,43.00%,0.00%,19.12%,75.00%,Good,2022-06-08 00:00:00,31.86%,Yorkshire and The Humber
Aston University Engineering Academy,Birmingham,2.00%,85.00%,9.00%,8.00%,0.00%,33.60%,75.00%,Good,2022-01-13 00:00:00,31.85%,West Midlands
Greenford High School,Ealing,1.00%,89.00%,38.00%,34.00%,3.00%,21.88%,75.00%,Good,2022-02-09 00:00:00,31.63%,London
Graveney School,Wandsworth,1.00%,86.00%,38.00%,35.00%,2.00%,18.27%,100.00%,Outstanding,2022-12-01 00:00:00,31.63%,London
Hinchley Wood School,Surrey,1.00%,90.00%,43.00%,38.00%,1.00%,16.32%,100.00%,Outstanding,2023-10-04 00:00:00,31.58%,South East
Ark Burlington Danes Academy,Hammersmith and Fulham,0.00%,97.00%,49.00%,47.00%,3.00%,16.08%,75.00%,Good,2022-07-14 00:00:00,31.53%,London
Penistone Grammar School,Barnsley,3.00%,86.00%,47.00%,45.00%,2.00%,18.40%,75.00%,Good,2023-02-03 00:00:00,31.53%,Yorkshire and The Humber
