School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Barton Peveril Sixth Form College,Hampshire,2.00%,74.00%,21.00%,19.00%,1.00%,12.18%,100.00%,Outstanding,2022-11-11 00:00:00,24.53%,South East
St Paul's Catholic College,West Sussex,1.00%,75.00%,24.00%,21.00%,1.00%,11.26%,100.00%,Outstanding,2023-03-01 00:00:00,24.52%,South East
The Robert Smyth Academy,Leicestershire,1.00%,75.00%,28.00%,27.00%,2.00%,13.28%,75.00%,Good,2022-11-30 00:00:00,24.51%,East Midlands
Malton School,North Yorkshire,3.00%,68.00%,30.00%,28.00%,0.00%,22.40%,25.00%,Good,2019-03-20 00:00:00,24.50%,Yorkshire and The Humber
Comberton Village College,Cambridgeshire,2.00%,83.00%,37.00%,33.00%,2.00%,18.18%,20.00%,Outstanding,2013-02-01 00:00:00,24.47%,East of England
St Peter's Collegiate Academy,Wolverhampton,3.00%,89.00%,22.00%,22.00%,2.00%,16.68%,50.00%,Requires improvement,2022-07-06 00:00:00,24.46%,West Midlands
Nunthorpe Academy,Redcar and Cleveland,2.00%,83.00%,28.00%,28.00%,0.00%,20.32%,25.00%,Good,2019-03-28 00:00:00,24.46%,North East
Chancellor's School,Hertfordshire,4.00%,75.00%,30.00%,25.00%,0.00%,13.23%,75.00%,Good,2023-11-08 00:00:00,24.45%,East of England
Nelson and Colne College,Lancashire,,68.00%,13.00%,11.00%,,16.52%,100.00%,Outstanding,2022-03-18 00:00:00,24.44%,North West
South Bank University Academy,Southwark,12.00%,82.00%,12.00%,6.00%,0.00%,17.52%,75.00%,Good,2022-06-09 00:00:00,24.44%,London
Montpelier High School,"Bristol, City of",1.00%,92.00%,30.00%,31.00%,0.00%,22.18%,0.00%,Serious Weaknesses,2022-03-24 00:00:00,24.44%,South West
"The City Academy, Hackney",Hackney,3.00%,81.00%,27.00%,27.00%,1.00%,12.20%,75.00%,Good,2023-03-29 00:00:00,24.42%,London
Bohunt School,Hampshire,4.00%,81.00%,31.00%,34.00%,3.00%,18.60%,20.00%,Outstanding,2013-04-25 00:00:00,24.41%,South East
Titus Salt School,Bradford,1.00%,71.00%,25.00%,25.00%,0.00%,15.12%,75.00%,Good,2022-03-17 00:00:00,24.39%,Yorkshire and The Humber
Tolworth Girls' School and Sixth Form,Kingston upon Thames,0.00%,83.00%,14.00%,17.00%,1.00%,12.22%,100.00%,Outstanding,2023-09-21 00:00:00,24.35%,London
Caterham High School,Redbridge,1.00%,80.00%,9.00%,9.00%,1.00%,19.15%,75.00%,Good,2022-06-30 00:00:00,24.35%,London
St Philip Howard Catholic School,West Sussex,2.00%,78.00%,30.00%,30.00%,1.00%,18.52%,33.33%,Outstanding,2021-10-06 00:00:00,24.33%,South East
Rawlins,Leicestershire,1.00%,84.00%,35.00%,31.00%,2.00%,13.60%,50.00%,Requires improvement,2022-06-29 00:00:00,24.32%,East Midlands
"Archbishop Holgate's School, A Church of England Academy",York,0.00%,76.00%,46.00%,42.00%,4.00%,13.33%,33.33%,Outstanding,2021-10-13 00:00:00,24.31%,Yorkshire and The Humber
Elthorne Park High School,Ealing,0.00%,83.00%,31.00%,31.00%,1.00%,17.60%,33.33%,Outstanding,2019-03-06 00:00:00,24.30%,London
Woodkirk Academy,Leeds,3.00%,72.00%,16.00%,13.00%,0.00%,18.33%,75.00%,Good,2023-03-14 00:00:00,24.30%,Yorkshire and The Humber
Queen Elizabeth High School,Northumberland,0.00%,87.00%,45.00%,39.00%,2.00%,14.12%,25.00%,Good,2019-03-21 00:00:00,24.29%,North East
Highgate Wood Secondary School,Haringey,1.00%,83.00%,46.00%,44.00%,2.00%,13.45%,25.00%,Good,2021-11-18 00:00:00,24.29%,London
Beckfoot School,Bradford,1.00%,90.00%,37.00%,32.00%,1.00%,17.25%,20.00%,Outstanding,2014-06-05 00:00:00,24.28%,Yorkshire and The Humber
Debden Park High School,Essex,4.00%,75.00%,24.00%,21.00%,0.00%,10.53%,100.00%,Outstanding,2023-10-19 00:00:00,24.28%,East of England
St Thomas More Catholic High School,North Tyneside,1.00%,80.00%,31.00%,31.00%,1.00%,10.93%,75.00%,Good,2023-05-18 00:00:00,24.27%,North East
Nower Hill High School,Harrow,2.00%,95.00%,36.00%,33.00%,1.00%,16.18%,20.00%,Outstanding,2012-05-11 00:00:00,24.27%,London
St Francis of Assisi Catholic College,Walsall,0.00%,84.00%,27.00%,26.00%,1.00%,12.07%,75.00%,Good,2022-01-27 00:00:00,24.26%,West Midlands
The Brunts Academy,Nottinghamshire,2.00%,80.00%,26.00%,25.00%,2.00%,16.68%,50.00%,Requires improvement,2023-09-20 00:00:00,24.26%,East Midlands
William Farr CofE Comprehensive School,Lincolnshire,0.00%,81.00%,25.00%,20.00%,1.00%,14.08%,75.00%,Good,2022-10-20 00:00:00,24.25%,East Midlands
Ralph Allen School,Bath and North East Somerset,1.00%,83.00%,42.00%,39.00%,2.00%,16.68%,15.00%,Good,2018-03-13 00:00:00,24.24%,South West
Ark St Alban's Academy,Birmingham,1.00%,93.00%,22.00%,22.00%,0.00%,21.95%,16.67%,Requires improvement,2021-11-24 00:00:00,24.23%,West Midlands
Heston Community School,Hounslow,1.00%,91.00%,11.00%,10.00%,2.00%,16.25%,75.00%,Good,2022-12-14 00:00:00,24.21%,London
The King's Academy,Middlesbrough,3.00%,86.00%,22.00%,20.00%,2.00%,12.92%,75.00%,Good,2022-03-24 00:00:00,24.21%,North East
St Edmund's Catholic Academy,Wolverhampton,0.00%,92.00%,21.00%,26.00%,0.00%,20.20%,25.00%,Good,2019-11-27 00:00:00,24.20%,West Midlands
"St Robert of Newminster Catholic School and Sixth Form College, Washington",Sunderland,3.00%,78.00%,32.00%,27.00%,1.00%,11.42%,75.00%,Good,2023-10-11 00:00:00,24.20%,North East
Magdalen College School,West Northamptonshire,1.00%,76.00%,20.00%,16.00%,1.00%,24.54%,25.00%,Good,2020-03-04 00:00:00,24.16%,East Midlands
Barclay Academy,Hertfordshire,5.00%,76.00%,24.00%,14.00%,0.00%,15.50%,75.00%,Good,2023-04-19 00:00:00,24.15%,East of England
King Ecgbert School,Sheffield,1.00%,85.00%,32.00%,30.00%,1.00%,19.03%,20.00%,Outstanding,2013-05-22 00:00:00,24.14%,Yorkshire and The Humber
Uxbridge High School,Hillingdon,1.00%,83.00%,12.00%,11.00%,0.00%,17.53%,75.00%,Good,2023-09-28 00:00:00,24.12%,London
North Birmingham Academy,Birmingham,1.00%,82.00%,6.00%,6.00%,0.00%,19.67%,75.00%,Good,2023-10-04 00:00:00,24.10%,West Midlands
Roundhay School,Leeds,1.00%,89.00%,37.00%,35.00%,3.00%,15.92%,20.00%,Outstanding,2013-11-21 00:00:00,24.08%,Yorkshire and The Humber
Jo Richardson Community School,Barking and Dagenham,0.00%,83.00%,25.00%,23.00%,1.00%,12.80%,75.00%,Good,2023-01-25 00:00:00,24.08%,London
All Hallows Catholic College,Cheshire East,5.00%,88.00%,43.00%,32.00%,2.00%,15.25%,20.00%,Outstanding,2014-12-04 00:00:00,24.07%,North West
Southborough High School,Kingston upon Thames,3.00%,74.00%,16.00%,18.00%,1.00%,16.30%,75.00%,Good,2023-02-03 00:00:00,24.07%,London
Blessed Hugh Faringdon Catholic School,Reading,0.00%,77.00%,19.00%,27.00%,0.00%,14.22%,75.00%,Good,2023-09-14 00:00:00,24.06%,South East
New College Pontefract,Wakefield,3.00%,71.00%,21.00%,18.00%,,12.02%,100.00%,Outstanding,2023-05-19 00:00:00,24.06%,Yorkshire and The Humber
Beacon Academy,East Sussex,3.00%,77.00%,34.00%,25.00%,1.00%,11.35%,75.00%,Good,2022-12-08 00:00:00,24.05%,South East
George Spencer Academy,Nottinghamshire,4.00%,77.00%,23.00%,21.00%,1.00%,13.78%,75.00%,Good,2023-03-22 00:00:00,24.03%,East Midlands
The Cedars Academy,Leicestershire,0.00%,88.00%,17.00%,7.00%,0.00%,16.67%,75.00%,Good,2023-03-22 00:00:00,24.03%,East Midlands
The Priory School,Hertfordshire,3.00%,75.00%,36.00%,29.00%,2.00%,10.23%,75.00%,Good,2022-10-05 00:00:00,24.02%,East of England
Fortis Academy,Birmingham,1.00%,85.00%,13.00%,13.00%,0.00%,16.43%,75.00%,Good,2023-10-25 00:00:00,24.02%,West Midlands
Vyners School,Hillingdon,5.00%,80.00%,26.00%,22.00%,0.00%,19.53%,33.33%,Outstanding,2019-05-02 00:00:00,23.99%,London
Feversham Girls' Secondary Academy,Bradford,2.00%,84.00%,11.00%,11.00%,0.00%,12.90%,100.00%,Outstanding,2022-03-10 00:00:00,23.97%,Yorkshire and The Humber
Liverpool Life Sciences UTC,Liverpool,0.00%,85.00%,20.00%,19.00%,0.00%,22.45%,25.00%,Good,2020-01-22 00:00:00,23.96%,North West
IKB Academy,Bath and North East Somerset,0.00%,71.00%,12.00%,0.00%,0.00%,21.57%,75.00%,Good,2022-04-06 00:00:00,23.95%,South West
Heanor Gate Spencer Academy,Derbyshire,2.00%,60.00%,24.00%,23.00%,0.00%,12.28%,100.00%,Outstanding,2023-06-28 00:00:00,23.94%,East Midlands
The King's School,Devon,2.00%,76.00%,28.00%,34.00%,2.00%,19.57%,20.00%,Outstanding,2014-03-28 00:00:00,23.94%,South West
Peter Symonds College,Hampshire,2.00%,83.00%,35.00%,34.00%,2.00%,15.00%,33.33%,Outstanding,2020-01-17 00:00:00,23.93%,South East
St Thomas More Catholic Academy,Stoke-on-Trent,0.00%,90.00%,10.00%,10.00%,0.00%,16.67%,75.00%,Good,2022-10-05 00:00:00,23.92%,West Midlands
Wilmslow High School,Cheshire East,1.00%,79.00%,46.00%,40.00%,2.00%,14.17%,25.00%,Good,2019-05-09 00:00:00,23.92%,North West
Sacred Heart Catholic School,Southwark,5.00%,87.00%,41.00%,35.00%,0.00%,15.33%,20.00%,Outstanding,2012-12-12 00:00:00,23.92%,London
Ashington Academy,Northumberland,0.00%,76.00%,18.00%,15.00%,0.00%,16.67%,75.00%,Good,2022-03-24 00:00:00,23.92%,North East
Carshalton High School for Girls,Sutton,1.00%,85.00%,19.00%,16.00%,0.00%,14.58%,75.00%,Good,2023-01-25 00:00:00,23.89%,London
Magna Academy,"Bournemouth, Christchurch and Poole",0.00%,75.00%,25.00%,17.00%,0.00%,15.20%,75.00%,Good,2023-03-22 00:00:00,23.88%,South West
Monk's Walk School,Hertfordshire,2.00%,84.00%,23.00%,20.00%,3.00%,12.32%,75.00%,Good,2023-09-20 00:00:00,23.87%,East of England
Richard Huish College,Somerset,3.00%,65.00%,19.00%,20.00%,1.00%,12.28%,100.00%,Outstanding,2022-04-29 00:00:00,23.85%,South West
Richmond School,North Yorkshire,2.00%,79.00%,30.00%,22.00%,2.00%,11.80%,75.00%,Good,2022-01-19 00:00:00,23.85%,Yorkshire and The Humber
Kennet School,West Berkshire,5.00%,66.00%,19.00%,17.00%,2.00%,12.10%,100.00%,Outstanding,2022-11-02 00:00:00,23.83%,South East
Haslingden High School and Sixth Form,Lancashire,2.00%,77.00%,27.00%,20.00%,1.00%,13.13%,75.00%,Good,2022-05-11 00:00:00,23.78%,North West
Winterbourne Academy,South Gloucestershire,6.00%,73.00%,16.00%,19.00%,1.00%,15.17%,75.00%,Good,2022-05-11 00:00:00,23.78%,South West
Swanshurst School,Birmingham,1.00%,87.00%,14.00%,13.00%,1.00%,24.37%,20.00%,Outstanding,2017-11-02 00:00:00,23.77%,West Midlands
Christopher Whitehead Language College,Worcestershire,3.00%,75.00%,21.00%,23.00%,0.00%,13.95%,75.00%,Good,2023-05-25 00:00:00,23.77%,West Midlands
Parliament Hill School,Camden,0.00%,86.00%,27.00%,25.00%,1.00%,10.95%,75.00%,Good,2023-02-09 00:00:00,23.77%,London
Claremont High School,Brent,1.00%,88.00%,24.00%,21.00%,1.00%,20.92%,20.00%,Outstanding,2015-05-14 00:00:00,23.77%,London
Boroughbridge High School,North Yorkshire,0.00%,61.00%,11.00%,11.00%,0.00%,25.00%,50.00%,Requires improvement,2023-05-05 00:00:00,23.77%,Yorkshire and The Humber
Hitchin Girls' School,Hertfordshire,2.00%,90.00%,40.00%,34.00%,1.00%,15.12%,20.00%,Outstanding,2013-06-20 00:00:00,23.75%,East of England
Highams Park School,Waltham Forest,1.00%,84.00%,26.00%,21.00%,2.00%,11.78%,75.00%,Good,2023-03-08 00:00:00,23.74%,London
Lampton Academy,Hounslow,1.00%,90.00%,30.00%,26.00%,1.00%,18.52%,20.00%,Outstanding,2013-05-23 00:00:00,23.73%,London
Bishop Ramsey Church of England School,Hillingdon,8.00%,83.00%,24.00%,21.00%,1.00%,15.50%,50.00%,Requires improvement,2022-06-09 00:00:00,23.72%,London
Bideford College,Devon,0.00%,72.00%,30.00%,30.00%,2.00%,11.45%,75.00%,Good,2022-06-08 00:00:00,23.72%,South West
Tonbridge Grammar School,Kent,2.00%,94.00%,76.00%,61.00%,4.00%,0.00%,33.33%,Outstanding,2019-10-17 00:00:00,23.71%,South East
Hayes School,Bromley,4.00%,75.00%,20.00%,18.00%,,10.63%,100.00%,Outstanding,2022-09-22 00:00:00,23.70%,London
Queen Elizabeth's Girls' School,Barnet,1.00%,93.00%,46.00%,42.00%,0.00%,11.48%,25.00%,Good,2021-09-22 00:00:00,23.69%,London
The Henry Box School,Oxfordshire,2.00%,68.00%,19.00%,17.00%,4.00%,15.63%,75.00%,Good,2023-02-09 00:00:00,23.68%,South East
Yate Academy,South Gloucestershire,4.00%,52.00%,17.00%,22.00%,9.00%,16.00%,75.00%,Good,2022-01-26 00:00:00,23.66%,South West
Launceston College,Cornwall,1.00%,64.00%,21.00%,32.00%,4.00%,13.07%,75.00%,Good,2023-05-11 00:00:00,23.65%,South West
Wanstead High School,Redbridge,1.00%,82.00%,39.00%,39.00%,5.00%,13.73%,25.00%,Good,2019-01-08 00:00:00,23.64%,London
Thirsk School & Sixth Form College,North Yorkshire,10.00%,69.00%,26.00%,19.00%,0.00%,13.48%,75.00%,Good,2022-02-03 00:00:00,23.64%,Yorkshire and The Humber
Queen Elizabeth's Grammar School,Blackburn with Darwen,0.00%,84.00%,32.00%,19.00%,0.00%,19.97%,25.00%,Good,2019-09-26 00:00:00,23.63%,North West
Northallerton School & Sixth Form College,North Yorkshire,4.00%,76.00%,17.00%,17.00%,2.00%,14.67%,75.00%,Good,2022-01-14 00:00:00,23.62%,Yorkshire and The Humber
"Cowes Enterprise College, An Ormiston Academy",Isle of Wight,0.00%,83.00%,22.00%,19.00%,1.00%,13.18%,75.00%,Good,2023-03-08 00:00:00,23.62%,South East
The de Ferrers Academy,Staffordshire,1.00%,80.00%,25.00%,21.00%,0.00%,12.85%,75.00%,Good,2023-10-25 00:00:00,23.61%,West Midlands
West Derby School,Liverpool,1.00%,70.00%,28.00%,27.00%,0.00%,12.82%,75.00%,Good,2023-05-05 00:00:00,23.61%,North West
Jack Hunt School,Peterborough,1.00%,89.00%,19.00%,18.00%,1.00%,12.70%,75.00%,Good,2022-07-06 00:00:00,23.61%,East of England
The Clarendon Academy,Wiltshire,0.00%,72.00%,21.00%,23.00%,3.00%,13.85%,75.00%,Good,2023-06-28 00:00:00,23.60%,South West
Birkenhead High School Academy,Wirral,0.00%,83.00%,29.00%,25.00%,3.00%,10.25%,75.00%,Good,2023-04-26 00:00:00,23.58%,North West
The King David High School,Manchester,1.00%,73.00%,45.00%,39.00%,2.00%,10.70%,50.00%,Requires improvement,2023-06-07 00:00:00,23.58%,North West
Wilmington Grammar School for Girls,Kent,6.00%,82.00%,12.00%,9.00%,0.00%,16.20%,75.00%,Good,2022-11-17 00:00:00,23.58%,South East
West Walsall E-ACT Academy,Walsall,0.00%,80.00%,4.00%,4.00%,0.00%,19.85%,75.00%,Good,2023-01-18 00:00:00,23.57%,West Midlands
Wolgarston High School,Staffordshire,3.00%,74.00%,26.00%,18.00%,0.00%,13.87%,75.00%,Good,2022-05-05 00:00:00,23.57%,West Midlands
Saint John Bosco College,Wandsworth,0.00%,91.00%,17.00%,17.00%,0.00%,13.20%,75.00%,Good,2022-10-07 00:00:00,23.55%,London
Rosedale College,Hillingdon,2.00%,85.00%,15.00%,13.00%,0.00%,15.00%,75.00%,Good,2023-07-12 00:00:00,23.55%,London
Allestree Woodlands School,Derby,5.00%,80.00%,21.00%,20.00%,1.00%,16.85%,50.00%,Requires improvement,2022-03-23 00:00:00,23.55%,East Midlands
Falmouth School,Cornwall,1.00%,57.00%,22.00%,18.00%,0.00%,21.82%,50.00%,Requires improvement,2023-02-08 00:00:00,23.54%,South West
St Andrew's Catholic School,Surrey,5.00%,84.00%,39.00%,30.00%,2.00%,15.92%,20.00%,Outstanding,2012-12-14 00:00:00,23.54%,South East
Hampton College,Peterborough,1.00%,87.00%,28.00%,23.00%,0.00%,10.63%,75.00%,Good,2023-06-28 00:00:00,23.53%,East of England
Hitchin Boys' School,Hertfordshire,0.00%,88.00%,35.00%,29.00%,0.00%,15.20%,33.33%,Outstanding,2021-09-22 00:00:00,23.53%,East of England
Canons High School,Harrow,1.00%,84.00%,17.00%,16.00%,0.00%,14.32%,75.00%,Good,2023-01-18 00:00:00,23.51%,London
Chapeltown Academy,Sheffield,1.00%,72.00%,30.00%,27.00%,0.00%,21.95%,15.00%,Good,2018-09-28 00:00:00,23.51%,Yorkshire and The Humber
St Crispin's School,Wokingham,8.00%,80.00%,21.00%,18.00%,0.00%,12.75%,75.00%,Good,2022-05-05 00:00:00,23.51%,South East
King James's School,North Yorkshire,0.00%,74.00%,33.00%,30.00%,3.00%,9.93%,75.00%,Good,2023-01-11 00:00:00,23.51%,Yorkshire and The Humber
Ron Dearing UTC,"Kingston upon Hull, City of",13.00%,46.00%,4.00%,4.00%,0.00%,30.15%,33.33%,Outstanding,2020-03-12 00:00:00,23.50%,Yorkshire and The Humber
Waverley School,Birmingham,3.00%,92.00%,14.00%,14.00%,0.00%,21.85%,25.00%,Good,2021-09-29 00:00:00,23.49%,West Midlands
"St Mary's College, Voluntary Catholic Academy","Kingston upon Hull, City of",2.00%,80.00%,22.00%,21.00%,1.00%,8.52%,100.00%,Outstanding,2023-10-25 00:00:00,23.48%,Yorkshire and The Humber
Sheldon School,Wiltshire,2.00%,82.00%,24.00%,28.00%,1.00%,10.60%,75.00%,Good,2022-12-14 00:00:00,23.48%,South West
Wellsway School,Bath and North East Somerset,5.00%,84.00%,22.00%,27.00%,3.00%,18.13%,25.00%,Good,2019-06-12 00:00:00,23.47%,South West
John Mason School,Oxfordshire,0.00%,80.00%,37.00%,33.00%,7.00%,14.90%,25.00%,Good,2019-05-22 00:00:00,23.46%,South East
The Trinity Catholic School A Voluntary Academy,Nottingham,0.00%,86.00%,30.00%,30.00%,0.00%,17.37%,25.00%,Good,2019-03-13 00:00:00,23.43%,East Midlands
Hasmonean High School for Boys,Barnet,0.00%,31.00%,15.00%,15.00%,2.00%,23.17%,75.00%,Good,2023-11-08 00:00:00,23.42%,London
King Edward VI Handsworth Wood Girls' Academy,Birmingham,3.00%,90.00%,20.00%,20.00%,0.00%,20.63%,20.00%,Outstanding,2014-05-23 00:00:00,23.40%,West Midlands
Derby Moor Spencer Academy,Derby,1.00%,87.00%,19.00%,19.00%,0.00%,12.67%,75.00%,Good,2022-06-09 00:00:00,23.40%,East Midlands
Chenderit School,West Northamptonshire,5.00%,67.00%,22.00%,20.00%,1.00%,14.38%,75.00%,Good,2022-09-28 00:00:00,23.40%,East Midlands
Queen Elizabeth's Grammar School,Derbyshire,2.00%,81.00%,31.00%,24.00%,2.00%,19.97%,15.00%,Good,2018-04-26 00:00:00,23.38%,East Midlands
Chipping Sodbury School,South Gloucestershire,0.00%,64.00%,14.00%,23.00%,0.00%,16.65%,75.00%,Good,2022-11-09 00:00:00,23.37%,South West
Foxford Community School,Coventry,2.00%,78.00%,14.00%,12.00%,2.00%,15.67%,75.00%,Good,2022-12-07 00:00:00,23.37%,West Midlands
London Design and Engineering UTC,Newham,7.00%,68.00%,13.00%,12.00%,0.00%,17.15%,75.00%,Good,2022-03-16 00:00:00,23.36%,London
Bloxwich Academy,Walsall,0.00%,77.00%,11.00%,11.00%,0.00%,25.67%,25.00%,Good,2021-11-04 00:00:00,23.35%,West Midlands
Workington Academy,Cumberland,9.00%,70.00%,20.00%,14.00%,2.00%,14.37%,75.00%,Good,2022-03-30 00:00:00,23.33%,North West
Queensbury Academy,Central Bedfordshire,3.00%,83.00%,15.00%,15.00%,3.00%,13.53%,75.00%,Good,2022-12-01 00:00:00,23.31%,East of England
Arnold Hill Spencer Academy,Nottinghamshire,2.00%,78.00%,37.00%,34.00%,2.00%,11.47%,50.00%,Requires improvement,2023-01-25 00:00:00,23.30%,East Midlands
Meden School,Nottinghamshire,0.00%,57.00%,14.00%,14.00%,0.00%,19.45%,75.00%,Good,2023-06-28 00:00:00,23.29%,East Midlands
The Ashcombe School,Surrey,1.00%,80.00%,33.00%,38.00%,2.00%,15.30%,25.00%,Good,2019-01-08 00:00:00,23.28%,South East
King Edward VI Lordswood School for Girls,Birmingham,0.00%,80.00%,19.00%,19.00%,0.00%,17.93%,50.00%,Requires improvement,2022-03-02 00:00:00,23.28%,West Midlands
The Latimer Arts College,North Northamptonshire,0.00%,76.00%,21.00%,24.00%,0.00%,13.10%,75.00%,Good,2023-04-20 00:00:00,23.28%,East Midlands
Keswick School,Cumberland,6.00%,89.00%,36.00%,23.00%,2.00%,16.28%,20.00%,Outstanding,2014-02-05 00:00:00,23.28%,North West
Outwood Academy Valley,Nottinghamshire,2.00%,75.00%,19.00%,16.00%,2.00%,10.13%,100.00%,Outstanding,2022-11-16 00:00:00,23.25%,East Midlands
Southfield School for Girls,North Northamptonshire,1.00%,84.00%,18.00%,17.00%,0.00%,13.43%,75.00%,Good,2023-04-19 00:00:00,23.25%,East Midlands
Loreto College,Hertfordshire,0.00%,87.00%,42.00%,36.00%,3.00%,13.71%,20.00%,Outstanding,2013-05-02 00:00:00,23.25%,East of England
Ursuline High School Wimbledon,Merton,0.00%,85.00%,32.00%,32.00%,2.00%,15.92%,25.00%,Good,2021-10-13 00:00:00,23.24%,London
Hendon School,Barnet,0.00%,92.00%,14.00%,11.00%,0.00%,14.12%,75.00%,Good,2022-05-19 00:00:00,23.24%,London
Malbank School and Sixth Form College,Cheshire East,2.00%,75.00%,27.00%,23.00%,0.00%,12.00%,75.00%,Good,2022-06-15 00:00:00,23.22%,North West
Thomas Mills High School,Suffolk,2.00%,76.00%,27.00%,24.00%,6.00%,10.10%,75.00%,Good,2023-01-25 00:00:00,23.20%,East of England
Bedlington Academy,Northumberland,0.00%,68.00%,11.00%,11.00%,0.00%,18.50%,75.00%,Good,2022-09-14 00:00:00,23.18%,North East
Stanground Academy,Peterborough,0.00%,72.00%,23.00%,21.00%,2.00%,13.33%,75.00%,Good,2023-06-07 00:00:00,23.18%,East of England
Wyke Sixth Form College,"Kingston upon Hull, City of",2.00%,76.00%,18.00%,15.00%,1.00%,10.43%,100.00%,Outstanding,2023-10-20 00:00:00,23.17%,Yorkshire and The Humber
St James' Catholic High School,Barnet,0.00%,86.00%,23.00%,19.00%,0.00%,11.87%,75.00%,Good,2022-05-05 00:00:00,23.17%,London
UTC Reading,Reading,7.00%,68.00%,13.00%,10.00%,0.00%,29.67%,0.00%,Serious Weaknesses,2023-02-08 00:00:00,23.17%,South East
The Belvedere Academy,Liverpool,1.00%,89.00%,45.00%,37.00%,2.00%,12.53%,20.00%,Outstanding,2015-01-30 00:00:00,23.13%,North West
South Nottinghamshire Academy,Nottinghamshire,3.00%,70.00%,23.00%,23.00%,3.00%,12.40%,75.00%,Good,2022-03-24 00:00:00,23.13%,East Midlands
Wykham Park,Oxfordshire,4.00%,68.00%,20.00%,20.00%,0.00%,14.40%,75.00%,Good,2023-09-13 00:00:00,23.12%,South East
Carmel College,Darlington,3.00%,79.00%,39.00%,38.00%,0.00%,15.12%,20.00%,Outstanding,2013-11-20 00:00:00,23.11%,North East
Saint Claudine's Catholic School for Girls,Brent,0.00%,87.00%,12.00%,12.00%,2.00%,14.28%,75.00%,Good,2022-10-12 00:00:00,23.09%,London
St Wilfrid's RC College,South Tyneside,1.00%,81.00%,30.00%,29.00%,0.00%,18.37%,20.00%,Outstanding,2018-10-04 00:00:00,23.08%,North East
Northgate High School,Suffolk,3.00%,83.00%,32.00%,29.00%,1.00%,16.27%,25.00%,Good,2019-11-14 00:00:00,23.08%,East of England
Pershore High School,Worcestershire,1.00%,72.00%,21.00%,23.00%,1.00%,13.13%,75.00%,Good,2022-11-03 00:00:00,23.08%,West Midlands
Maiden Erlegh School,Wokingham,2.00%,86.00%,24.00%,24.00%,1.00%,16.87%,33.33%,Outstanding,2020-02-12 00:00:00,23.07%,South East
Codsall Community High School,Staffordshire,5.00%,67.00%,14.00%,12.00%,1.00%,16.65%,75.00%,Good,2023-03-03 00:00:00,23.07%,West Midlands
St Joseph's College,Stoke-on-Trent,1.00%,92.00%,29.00%,26.00%,1.00%,17.01%,20.00%,Outstanding,2014-02-05 00:00:00,23.06%,West Midlands
Norton Hill Academy,Bath and North East Somerset,3.00%,76.00%,16.00%,22.00%,1.00%,13.08%,75.00%,Good,2023-03-22 00:00:00,23.03%,South West
Friesland School,Derbyshire,4.00%,66.00%,21.00%,21.00%,4.00%,13.18%,75.00%,Good,2022-09-22 00:00:00,23.03%,East Midlands
Farlingaye High School,Suffolk,3.00%,72.00%,26.00%,22.00%,1.00%,12.07%,75.00%,Good,2022-03-02 00:00:00,23.02%,East of England
"St Edward's Roman Catholic/Church of England School, Poole","Bournemouth, Christchurch and Poole",1.00%,76.00%,23.00%,14.00%,0.00%,14.08%,75.00%,Good,2022-11-23 00:00:00,23.02%,South West
Walsall College,Walsall,2.00%,46.00%,2.00%,1.00%,0.00%,33.33%,25.00%,Good,2020-03-06 00:00:00,23.02%,West Midlands
"Cardinal Hume Catholic School, Gateshead",Gateshead,4.00%,78.00%,29.00%,28.00%,2.00%,18.07%,20.00%,Outstanding,2014-01-15 00:00:00,23.00%,North East
